,index,store_ID,day_of_week,nb_customers_on_day,open,promotion,state_holiday,school_holiday,month,year,sales
75,20314,800,1,494,1,0,0,0,5,2014,4647.849
76,603091,330,1,408,1,0,0,0,3,2014,3572.6978
77,500421,507,3,648,1,1,0,0,1,2015,7915.929
78,388016,98,7,0,0,0,0,0,6,2013,44.016254
79,268257,1026,2,1044,1,0,0,0,1,2014,7278.5293
80,216326,990,5,719,1,0,0,0,10,2013,5507.934
81,40755,8,6,345,1,0,0,0,1,2015,3014.7373
82,8654,611,3,566,1,1,0,1,7,2013,5971.544
83,37301,257,2,777,1,1,0,0,8,2013,6956.9966
84,485623,840,4,1189,1,1,0,0,4,2015,9579.417
85,214073,848,5,998,1,1,0,1,7,2015,9112.653
86,406145,124,6,297,1,0,0,0,7,2014,2583.6902
87,397642,1028,2,438,1,0,0,1,12,2013,3758.7305
88,273960,95,2,1099,1,1,0,0,9,2013,10547.575
89,12104,208,1,323,1,0,0,0,10,2013,2653.1191
90,361202,249,2,449,1,0,0,0,7,2014,4369.2856
91,79347,887,3,614,1,1,0,0,3,2013,6358.6724
92,462803,73,1,601,1,1,0,1,4,2014,6930.092
93,141713,13,4,501,1,1,0,1,4,2015,5881.8145
94,703618,1049,2,580,1,0,0,1,9,2013,4565.498
95,308360,144,4,769,1,1,0,0,2,2015,8030.053
96,317995,847,3,1018,1,1,0,1,8,2013,9039.924
97,364408,796,3,717,1,0,0,0,5,2013,6675.848
98,27886,396,4,1139,1,0,0,0,6,2015,10158.172
99,706814,1080,7,0,0,0,0,0,9,2013,30.442616
100,514516,675,5,338,1,0,0,0,9,2014,3087.967
101,577373,1099,1,1236,1,1,0,0,12,2014,12510.414
102,190561,791,1,858,1,0,0,0,5,2015,7750.01
103,92512,1014,2,1476,1,0,0,0,3,2015,12467.951
104,565163,487,2,737,1,1,0,0,11,2014,7582.0425
105,500246,427,3,701,1,0,0,1,2,2013,6809.232
106,223708,254,5,282,1,1,0,0,11,2014,3555.1377
107,555732,43,5,710,1,0,0,0,1,2014,5976.4385
108,654150,1074,2,421,1,0,0,0,6,2015,4263.324
109,558350,549,6,380,1,0,0,0,6,2013,4051.3076
110,52167,1095,2,720,1,1,0,0,1,2013,5989.3613
111,296981,295,1,612,1,0,0,1,10,2013,5180.2593
112,332143,319,1,863,1,0,0,1,10,2013,7564.669
113,426553,1002,4,642,1,0,0,0,4,2014,5000.489
114,481847,448,6,544,1,0,0,0,12,2014,5418.523
115,100496,527,2,1046,1,0,0,1,9,2013,9675.495
116,706377,255,5,652,1,1,0,0,4,2013,6044.5054
117,599169,581,5,651,1,1,0,0,7,2014,6056.5356
118,55294,185,6,550,1,0,0,0,1,2013,5714.8423
119,218737,244,6,538,1,0,0,0,11,2014,5079.1685
120,266706,1082,6,877,1,0,0,0,1,2013,8690.85
121,441953,216,5,837,1,1,0,0,3,2015,6776.5737
122,127184,350,4,508,1,1,0,0,3,2015,6730.4043
123,312223,748,1,822,1,1,0,0,3,2014,9549.984
124,583377,718,1,962,1,0,0,0,12,2014,8210.61
125,523743,739,5,789,1,1,0,0,2,2014,8613.452
126,476775,614,7,0,0,0,0,0,12,2014,-28.873646
127,620142,673,2,615,1,1,0,0,2,2014,7287.055
128,460092,83,1,367,1,0,0,0,6,2013,3840.1768
129,169260,976,3,598,1,0,0,0,9,2013,4829.242
130,177084,637,6,518,1,0,0,0,4,2013,5432.8755
131,645354,122,2,714,1,1,0,0,1,2014,7155.86
132,645737,898,1,1013,1,1,0,0,11,2014,10583.614
133,272578,1080,4,710,1,0,0,0,6,2014,6377.567
134,600374,291,1,1290,1,1,0,0,3,2015,13590.085
135,566038,24,4,711,1,0,0,1,1,2013,6980.9746
136,381862,1096,7,0,0,0,0,0,8,2013,-14.078736
137,535335,637,5,860,1,0,0,0,5,2014,10515.134
138,499411,1002,2,850,1,1,0,0,6,2015,8290.76
139,625219,666,1,497,1,0,0,0,3,2014,4141.1567
140,61823,1089,7,0,0,0,0,0,11,2013,-37.830772
141,653471,334,6,515,1,0,0,0,8,2013,4644.4707
142,441789,300,6,951,1,0,0,1,8,2014,7568.5894
143,155435,207,1,1166,1,0,0,0,9,2014,8689.864
144,226567,683,3,854,1,0,0,0,5,2015,8273.46
145,107330,1094,2,394,1,1,0,0,5,2013,5084.9746
146,149417,700,4,576,1,0,0,0,7,2015,4782.543
147,191690,959,2,744,1,0,0,0,8,2014,5646.738
148,146544,766,7,0,0,0,0,0,6,2014,44.158897
149,383603,1011,6,977,1,0,0,0,6,2013,8307.048
150,452941,570,5,676,1,0,0,0,12,2013,5073.4814
151,629103,685,2,689,1,1,0,0,9,2013,7658.1514
152,30258,158,3,681,1,1,0,1,4,2014,8598.427
153,219501,66,5,522,1,0,0,1,5,2015,5925.935
154,528607,76,2,1080,1,1,0,0,7,2013,10670.426
155,397525,572,3,458,1,0,0,0,10,2013,5002.77
156,314281,184,6,510,1,0,0,0,10,2014,5440.238
157,489418,1034,5,775,1,1,0,0,12,2013,7642.496
158,182776,559,7,0,0,0,0,0,8,2013,-20.746428
159,335928,862,2,1561,1,0,0,1,12,2014,14039.351
160,198358,171,2,962,1,1,0,0,11,2014,10186.428
161,400219,33,7,0,0,0,0,0,12,2014,15.008778
162,427476,936,4,963,1,1,0,0,11,2014,8234.971
163,31892,948,2,1682,1,1,0,0,2,2014,6965.6978
164,109374,371,6,551,1,0,0,0,5,2013,6049.2886
165,385320,242,1,378,1,1,0,0,5,2014,4587.7866
166,517169,133,5,622,1,0,0,0,1,2014,5819.9736
167,369733,1031,1,681,1,1,0,0,12,2014,8016.95
168,71343,850,4,710,1,1,0,0,2,2013,6515.7324
169,42363,860,5,833,1,1,0,0,6,2015,7723.947
170,612665,836,6,301,1,0,0,0,7,2013,2439.669
171,428563,965,6,908,1,0,0,0,11,2013,8909.172
172,610249,1096,1,763,1,1,0,0,1,2015,6813.1226
173,669222,504,3,836,1,1,0,1,9,2014,6915.5933
174,484348,230,1,1327,1,0,0,1,12,2013,13394.602
175,194089,826,1,1170,1,1,0,0,12,2013,13054.106
176,328888,975,2,767,1,1,0,1,7,2013,7755.711
177,485880,602,2,547,1,0,0,1,10,2014,5447.1665
178,699868,953,5,553,1,1,0,0,9,2014,5888.466
179,265929,187,6,491,1,0,0,0,11,2013,5020.317
180,154648,792,5,599,1,0,0,0,10,2013,5483.215
181,376328,1035,4,744,1,1,0,0,11,2014,6719.3716
182,530275,523,3,1515,1,1,0,1,7,2015,13812.692
183,441109,723,4,461,1,0,0,1,4,2013,4850.0107
184,26050,1025,7,0,0,0,0,0,5,2013,-21.225529
185,247671,18,7,0,0,0,0,0,1,2015,-31.200447
186,615467,997,3,378,1,1,0,1,9,2014,5246.7393
187,267972,400,6,805,1,0,0,0,10,2013,5315.4556
188,22318,1047,2,491,1,0,0,0,7,2013,4801.51
189,430083,819,1,472,1,0,0,0,9,2013,4742.7744
190,510014,668,1,1562,1,1,0,0,6,2014,13354.713
191,343803,585,4,666,1,0,0,0,1,2015,5775.95
192,85161,99,1,404,1,0,0,0,3,2014,4017.0625
193,505852,965,6,847,1,0,0,0,11,2014,8012.4883
194,266131,590,4,376,1,1,0,0,2,2013,4474.551
195,397091,709,2,1682,1,1,0,0,6,2015,14219.203
196,112013,58,7,0,0,0,0,0,10,2013,-17.23221
197,492019,409,7,0,0,0,0,0,2,2014,19.111208
198,73240,850,6,826,1,0,0,0,4,2015,7503.3735
199,203948,1058,3,737,1,1,0,0,3,2013,7675.912
200,603210,1067,7,0,0,0,0,0,4,2014,24.347845
201,82813,777,1,0,0,0,2,1,4,2014,52.290314
202,634511,155,3,632,1,1,0,0,5,2014,7247.596
203,28171,598,1,871,1,1,0,0,6,2015,8651.782
204,198571,493,2,902,1,1,0,0,7,2014,9475.951
205,70073,628,7,0,0,0,0,1,8,2014,-97.06183
206,551321,524,1,1193,1,0,0,1,12,2013,11922.24
207,509286,966,4,585,1,0,0,1,4,2013,4385.008
208,24413,1022,5,791,1,0,0,1,12,2013,7126.2334
209,367168,380,3,1720,1,1,0,0,3,2014,17283.332
210,103724,132,3,579,1,1,0,0,1,2015,6175.4907
211,704886,400,5,999,1,0,0,0,6,2015,6923.1714
212,568270,988,4,790,1,1,0,0,8,2013,6428.9834
213,627934,906,2,1476,1,1,0,0,3,2013,13777.541
214,520091,1028,2,689,1,1,0,0,11,2013,6269.6943
215,505933,1100,6,484,1,0,0,0,3,2013,3841.3281
216,67603,759,1,607,1,0,0,0,1,2013,4867.9834
217,96570,223,1,716,1,0,0,0,10,2014,5568.246
218,696883,936,7,0,0,0,0,0,3,2015,-35.02061
219,216455,780,6,341,1,0,0,0,7,2015,3162.8965
220,472114,259,5,2677,1,1,0,0,11,2014,16962.549
221,437836,131,6,582,1,0,0,0,11,2013,5753.2476
222,467331,251,3,2241,1,1,0,0,1,2015,17777.342
223,423483,1079,6,517,1,0,0,0,1,2015,5504.6084
224,533535,1003,3,1029,1,1,0,0,3,2014,7931.1167
225,82465,980,4,450,1,0,0,0,9,2013,4912.268
226,245480,654,2,766,1,1,0,0,1,2015,7978.425
227,155723,966,4,517,1,0,0,1,7,2013,3872.9304
228,167485,1020,1,929,1,0,0,0,9,2014,7366.5225
229,574217,969,3,610,1,1,0,0,3,2014,4160.8936
230,307718,1038,2,490,1,0,0,1,4,2015,4837.32
231,250666,516,3,453,1,0,0,1,7,2014,4393.529
232,233447,733,1,3171,1,0,0,0,1,2013,13447.896
233,9408,595,6,1881,1,0,0,0,5,2014,14920.239
234,532318,260,3,962,1,1,0,1,7,2014,9561.292
235,213221,768,6,1251,1,0,0,0,2,2013,11266.897
236,149118,940,1,627,1,0,0,0,1,2013,5757.9014
237,643815,364,4,563,1,0,0,0,6,2013,4668.75
238,205464,506,3,763,1,0,0,1,7,2015,6888.082
239,172737,671,3,507,1,1,0,1,5,2013,5768.3003
240,358803,300,6,862,1,0,0,0,1,2015,7657.222
241,432064,84,2,1563,1,1,0,0,6,2014,15746.72
242,243176,219,4,455,1,1,0,0,5,2015,3773.638
243,165487,934,5,764,1,1,0,0,3,2013,7162.837
244,206630,125,3,1906,1,1,0,1,4,2015,15947.557
245,380228,176,3,757,1,1,0,0,12,2013,7150.303
246,278339,223,2,675,1,0,0,0,11,2013,5691.206
247,125602,326,1,429,1,1,0,0,7,2014,5427.4014
248,707930,339,2,745,1,1,0,0,8,2013,7158.7886
249,647013,872,3,659,1,0,0,1,4,2015,6602.5347
250,404917,579,7,0,0,0,0,0,11,2014,-28.609793
251,607690,974,5,1599,1,0,0,0,2,2014,10877.96
252,63394,979,7,0,0,0,0,0,4,2015,-36.884644
253,334403,880,3,806,1,1,0,0,6,2014,6907.702
254,440195,910,7,0,0,0,0,0,3,2013,73.42582
255,87636,1084,6,614,1,0,0,0,7,2015,5761.2646
256,189540,92,5,453,1,0,0,0,6,2015,4419.933
257,18218,14,6,402,1,0,0,0,6,2015,3678.8208
258,396021,587,1,960,1,0,0,1,12,2013,8562.015
259,442052,230,4,856,1,1,0,0,10,2013,8039.032
260,397202,689,6,589,1,0,0,0,3,2014,5809.251
261,251121,599,1,1096,1,1,0,0,5,2013,11762.29
262,463013,596,7,0,0,0,0,0,12,2013,24.967165
263,655331,576,1,749,1,0,0,0,3,2013,5969.9604
264,327407,141,4,493,1,0,0,0,6,2014,4381.6987
265,355157,751,1,0,0,0,2,1,4,2014,-50.831818
266,654124,877,5,925,1,0,0,0,3,2013,7555.985
267,602473,375,2,948,1,1,0,0,4,2013,10348.231
268,414480,230,1,988,1,0,0,0,12,2014,8455.024
269,574764,545,3,1087,1,1,0,0,1,2014,11754.877
270,136740,1022,1,1093,1,1,0,0,3,2013,11228.856
271,240843,597,3,756,1,1,0,1,8,2014,6990.499
272,130323,559,7,0,0,0,0,0,6,2014,-26.201178
273,688030,1024,6,825,1,0,0,0,7,2015,6752.777
274,43133,36,2,1205,1,1,0,0,3,2015,10951.625
275,172856,702,2,351,1,1,0,1,5,2013,4178.81
276,446048,623,7,0,0,0,0,0,2,2013,-23.37149
277,36534,105,4,483,1,0,0,0,10,2013,4246.653
278,612801,902,2,648,1,1,0,0,11,2013,6729.483
279,256750,11,6,786,1,0,0,0,4,2015,6379.8447
280,623446,1039,5,629,1,0,0,0,6,2013,5933.2046
281,63314,102,1,1174,1,1,0,0,2,2015,9484.138
282,238452,543,5,175,1,0,0,1,10,2013,1663.1732
283,43919,827,4,1910,1,0,0,1,1,2014,13599.262
284,258378,110,3,647,1,1,0,0,10,2014,6175.18
285,59774,945,1,698,1,1,0,1,1,2015,7549.433
286,31637,582,3,749,1,0,0,0,3,2014,5403.317
287,673741,554,4,428,1,0,0,0,1,2014,3409.8125
288,659942,486,2,384,1,0,0,1,7,2014,3732.9385
289,349639,637,6,520,1,0,0,0,2,2014,5595.2188
290,394865,806,5,578,1,0,0,0,1,2014,6381.1543
291,255648,887,6,462,1,0,0,0,6,2014,4672.818
292,379128,374,6,668,1,0,0,0,4,2015,7684.327
293,540897,1025,5,804,1,0,0,1,1,2013,6061.768
294,662220,638,2,431,1,0,0,1,8,2013,4430.2617
295,160268,123,6,490,1,0,0,0,5,2015,4801.958
296,654290,905,4,1108,1,1,0,0,2,2015,8049.337
297,599039,536,5,989,1,0,0,1,4,2013,8845.083
298,651027,763,7,0,0,0,0,0,2,2015,38.70291
299,553569,191,6,694,1,0,0,0,8,2013,6090.2124
300,271750,957,4,948,1,1,0,0,2,2014,7791.6514
301,709864,268,4,618,1,1,0,0,6,2015,5914.7305
302,300796,654,6,266,1,0,0,0,9,2013,2375.6768
303,413674,612,6,388,1,0,0,0,9,2013,3989.7207
304,8402,747,3,567,1,0,0,1,8,2014,5499.738
305,310059,656,6,380,1,0,0,0,5,2013,3315.1619
306,319105,368,5,592,1,0,0,1,4,2013,6507.1216
307,689752,959,3,552,1,0,0,0,9,2013,4578.63
308,516276,329,2,708,1,1,0,0,2,2015,7189.457
309,338342,97,3,535,1,0,0,1,7,2015,5254.3726
310,666229,314,2,661,1,1,0,1,8,2013,7064.8906
311,8353,463,7,0,0,0,0,0,1,2015,-32.26252
312,386012,258,1,0,0,0,1,0,5,2013,3.802735
313,471619,283,3,621,1,0,0,0,11,2013,5003.837
314,612347,556,1,754,1,0,0,0,4,2013,5099.0986
315,514445,388,5,1211,1,1,0,0,1,2014,11344.628
316,396179,67,3,837,1,1,0,1,9,2014,8498.546
317,590638,725,5,677,1,1,0,0,1,2015,6877.783
318,683448,219,4,416,1,1,0,0,6,2013,3037.0842
319,218062,1077,2,479,1,0,0,0,2,2015,4159.955
320,706606,322,4,589,1,0,0,0,5,2013,5427.179
321,453487,814,3,581,1,1,0,1,2,2013,5354.5034
322,240904,134,7,0,0,0,0,0,6,2013,17.434326
323,326681,54,4,657,1,0,0,0,7,2013,6128.998
324,272937,662,5,854,1,1,0,0,4,2013,8312.234
325,11415,126,7,0,0,0,0,0,4,2015,-17.180515
326,436957,1001,6,471,1,0,0,0,11,2013,4524.1616
327,171033,657,4,598,1,0,0,0,2,2014,5287.468
328,632521,590,4,319,1,0,0,0,3,2013,3251.0962
329,179002,193,3,0,0,0,3,1,12,2013,64.90752
330,345971,168,6,465,1,0,0,0,9,2013,4334.22
331,463457,16,1,839,1,0,0,0,7,2013,6465.4165
332,674866,244,1,738,1,1,0,0,2,2013,7992.171
333,479231,545,7,0,0,0,0,0,2,2015,73.99183
334,369184,1032,6,492,1,0,0,0,1,2013,4684.4907
335,564608,290,5,987,1,1,0,0,5,2013,9331.478
336,421305,548,4,335,1,1,0,0,1,2013,4253.4805
337,312789,733,1,3508,1,1,0,1,8,2014,16057.158
338,548456,654,4,716,1,1,0,0,6,2013,6761.143
339,195259,272,6,377,1,0,0,0,5,2013,3462.4165
340,669573,1017,3,1176,1,1,0,0,3,2013,9062.744
341,599293,708,2,462,1,1,0,0,5,2014,5200.406
342,33900,819,4,454,1,1,0,0,1,2015,5342.154
343,74619,99,3,372,1,0,0,0,6,2013,3666.7854
344,284898,982,2,710,1,0,0,0,12,2013,7059.779
345,402135,683,5,0,0,1,2,1,4,2015,-162.51524
346,447277,194,3,373,1,0,0,0,10,2013,4096.358
347,588164,853,2,1201,1,1,0,0,6,2015,12905.238
348,456931,53,1,650,1,1,0,1,4,2014,7729.4165
349,221701,281,4,508,1,1,0,0,2,2013,5696.0063
350,535271,101,2,879,1,1,0,0,9,2014,8164.083
351,171677,440,5,769,1,1,0,1,6,2015,8378.711
352,226127,994,2,435,1,1,0,0,3,2014,4819.257
353,414979,168,2,930,1,1,0,1,7,2013,10138.012
354,500051,48,7,0,0,0,0,0,10,2013,17.337446
355,329177,652,6,501,1,0,0,0,2,2014,4877.7876
356,541113,934,6,474,1,0,0,0,1,2014,4301.3047
357,124681,223,6,589,1,0,0,0,3,2014,5409.5205
358,284177,378,5,0,0,0,3,1,12,2014,-39.635303
359,90749,865,3,624,1,1,0,0,7,2013,6725.6216
360,237894,466,5,861,1,0,0,0,1,2014,7387.954
361,506152,789,5,546,1,0,0,0,2,2014,4678.275
362,622882,61,7,0,0,0,0,0,6,2015,-13.015732
363,34430,765,4,1068,1,1,0,0,12,2013,12909.498
364,268594,673,1,500,1,0,0,0,2,2015,5025.9424
365,368485,258,3,444,1,0,0,0,6,2014,4544.2783
366,602478,740,3,499,1,1,0,0,10,2014,6706.861
367,202788,1080,1,764,1,0,0,0,9,2013,7706.758
368,675955,918,5,661,1,1,0,0,6,2014,5992.343
369,611958,857,6,1004,1,0,0,0,6,2013,7635.1865
370,597571,837,1,482,1,1,0,0,7,2013,4134.5464
371,317074,516,7,0,0,0,0,0,3,2015,14.857372
372,380943,446,2,505,1,0,0,0,5,2014,4415.288
373,649251,835,4,0,0,1,1,0,5,2013,232.92014
374,386136,140,7,0,0,0,0,0,2,2013,58.51936
375,411910,207,3,1584,1,1,0,0,8,2013,13897.166
376,119756,961,4,668,1,1,0,0,1,2015,6237.889
377,251963,772,2,507,1,1,0,0,3,2014,5106.063
378,292719,1089,2,1050,1,1,0,0,9,2014,10390.509
379,77065,521,3,421,1,1,0,0,3,2014,4730.3057
380,206967,823,5,600,1,0,0,0,1,2014,5794.2275
381,521339,436,6,426,1,0,0,0,9,2013,3590.8442
382,363365,483,7,0,0,0,0,0,3,2014,-67.870895
383,481077,215,2,333,1,0,0,0,3,2014,3610.5464
384,711386,109,5,802,1,0,0,0,5,2015,8342.955
385,66970,858,1,590,1,1,0,0,12,2013,6393.507
386,435729,425,4,501,1,1,0,0,3,2015,4405.9717
387,426284,357,5,905,1,0,0,1,7,2015,7694.0884
388,435236,255,1,575,1,1,0,0,2,2015,6976.1826
389,199039,798,6,343,1,0,0,0,2,2015,3065.958
390,99250,366,6,304,1,0,0,0,3,2013,2842.892
391,580140,534,2,510,1,0,0,1,4,2015,5733.513
392,254820,179,5,1176,1,1,0,0,6,2014,10964.469
393,155130,258,2,464,1,0,0,1,9,2013,4559.424
394,503682,693,5,384,1,0,0,1,8,2014,4269.7197
395,288534,999,4,685,1,1,0,1,10,2013,7824.2725
396,67050,834,6,492,1,0,0,0,4,2014,4716.2036
397,174771,512,4,1410,1,0,0,1,10,2013,5656.1865
398,442288,818,2,662,1,1,0,0,4,2013,6071.2705
399,606734,534,6,606,1,0,0,0,10,2013,5964.445
400,431156,1084,2,1099,1,1,0,0,12,2013,11966.06
401,424121,34,2,861,1,0,0,0,3,2015,7258.898
402,557753,101,4,686,1,0,0,0,3,2014,5369.8735
403,520831,187,1,885,1,1,0,0,3,2015,9943.9375
404,376589,20,1,1041,1,1,0,0,9,2013,10173.285
405,7670,828,7,0,0,0,0,0,10,2014,28.155598
406,303546,434,1,823,1,1,0,1,8,2013,9140.98
407,236740,738,1,864,1,1,0,0,5,2015,9980.948
408,145734,351,5,569,1,1,0,0,3,2014,6790.5894
409,134420,1020,4,905,1,0,0,0,1,2014,6978.137
410,691699,86,7,0,0,0,0,0,8,2013,-33.832783
411,233889,266,3,573,1,1,0,0,6,2015,5767.5244
412,653554,608,5,1024,1,1,0,0,6,2014,10170.994
413,481046,708,5,493,1,1,0,1,2,2014,5135.8394
414,423103,734,3,605,1,1,0,0,2,2014,6404.738
415,693486,776,7,0,0,0,0,0,6,2015,-7.5326395
416,90193,1060,2,853,1,1,0,0,4,2013,8227.954
417,119482,182,2,507,1,1,0,0,4,2014,6713.752
418,525167,542,3,431,1,0,0,0,1,2013,4618.7173
419,239754,602,1,610,1,0,0,0,5,2013,6244.3315
420,332806,101,4,777,1,1,0,0,11,2013,7100.77
421,142056,784,7,0,0,0,0,0,6,2013,-14.910131
422,673000,679,7,0,0,0,0,0,11,2013,-12.409225
423,567353,535,4,793,1,0,0,1,8,2014,7078.924
424,696641,844,4,516,1,1,0,0,2,2014,4411.222
425,628766,595,7,0,0,0,0,0,5,2015,-25.73384
426,544695,25,6,1831,1,0,0,0,3,2013,13799.162
427,652921,416,3,1819,1,1,0,0,12,2014,15903.347
428,436682,539,4,966,1,0,0,0,1,2015,8652.662
429,158580,77,3,642,1,1,0,0,8,2013,6553.501
430,184394,641,2,493,1,0,0,0,7,2013,4106.194
431,523534,445,6,1201,1,0,0,0,1,2015,8121.6167
432,133026,318,5,822,1,1,0,0,5,2013,8645.118
433,296285,394,3,539,1,0,0,0,11,2013,5283.465
434,14477,761,5,1014,1,1,0,1,2,2014,8440.823
435,130799,706,2,578,1,1,0,0,7,2015,6933.255
436,17306,41,5,433,1,0,0,0,2,2014,4678.7295
437,617975,894,1,958,1,0,0,1,7,2014,6685.0195
438,668657,169,6,801,1,0,0,0,5,2014,7777.442
439,460228,1012,1,0,0,0,1,0,6,2014,52.027843
440,26534,310,4,868,1,1,0,0,8,2013,8733.191
441,8504,1003,3,847,1,1,0,0,1,2014,7045.852
442,253700,970,3,429,1,1,0,0,8,2013,3369.5493
443,586553,239,5,627,1,1,0,0,9,2013,5488.268
444,463307,998,1,647,1,1,0,0,3,2015,7427.5894
445,245670,278,5,692,1,0,0,0,6,2013,6953.029
446,291128,49,2,539,1,0,0,1,5,2015,7481.8486
447,615053,603,3,0,0,1,0,1,8,2013,190.73616
448,263461,658,2,824,1,1,0,0,4,2013,8201.438
449,42414,1072,3,786,1,1,0,0,2,2013,7047.9805
450,527688,1028,2,587,1,1,0,1,10,2013,5724.794
451,697845,288,4,489,1,1,0,0,6,2015,5872.709
452,28136,111,1,838,1,1,0,1,3,2015,9955.136
453,245444,581,2,703,1,1,0,0,7,2015,7245.396
454,394116,979,7,0,0,0,0,0,5,2013,-30.63782
455,601504,644,7,0,0,0,0,0,2,2015,-29.640532
456,349857,589,1,577,1,1,0,0,6,2013,6462.7056
457,658989,295,2,619,1,0,0,0,2,2014,5043.365
458,73913,388,1,1586,1,1,0,0,2,2013,15926.901
459,579219,9,6,621,1,0,0,0,10,2014,5716.531
460,628094,445,4,1381,1,1,0,1,8,2013,8807.709
461,430442,204,4,445,1,0,0,1,9,2013,4293.261
462,694123,296,1,1011,1,1,0,0,10,2014,9245.696
463,637678,497,7,0,0,0,0,0,5,2015,39.09393
464,697006,481,1,523,1,1,0,0,2,2013,6071.2876
465,174454,1100,6,569,1,0,0,0,12,2014,4830.8794
466,290329,588,6,614,1,0,0,0,12,2013,6560.8564
467,79977,290,2,918,1,1,0,1,1,2014,8570.271
